,Unnamed: 0,0
0,0,American-Pit-Bull-Mix
1,1,Pit-Bull-Mix
2,2,American-Pit-Bull-Terrier
3,3,Pit-Bull
4,4,Japanese-Chin
5,5,Spaniel
6,6,POODLE
7,7,BICHON
8,8,DACHSHUND
9,9,POMER
10,10,MALTESE
11,11,"POODLE,TOY"
12,12,Shepherd
13,13,Doberman-Mix
14,14,Basset
15,15,Beagle-Mix
16,16,HOUND
17,17,PIT-BULL
18,18,Chihuahua
19,19,Dachshund
20,20,TERR
21,21,SHEP
22,22,BEAGLE
23,23,BOXER-X
24,24,Terrier-Mix
25,25,Maltese
26,26,Shih-Tzu
27,27,miniature-poodle
28,28,cocker-spaniel
29,29,YORKIE
30,30,CHIHUAHUA
31,31,Westy
32,32,Yorkie
33,33,Cocker
34,34,Cavalier
35,35,Poodle-mix
36,36,Beagle
37,37,Dachsund
38,38,Bull-Dog
39,39,Sher-pei-Mixed
40,40,MALT
41,41,YORKSHIRE-TERRIER
42,42,Retriever-Mix
43,43,Havanese
44,44,CORGI
45,45,RETRIEVER-MIX
46,46,Husky
47,47,Collie-Mix
48,48,Lhasa-Apso
49,49,Shih-Tuz
50,50,Poodle
51,51,YELLOW-LABRADOR
52,52,Boxer
53,53,Terrier
54,54,Hound
55,55,Lhasa
56,56,Terri
57,57,Hound-Mix
58,58,SCHNAUZER
59,59,fox-terrier-mix
60,60,DACHSHAUN
61,61,LAB
62,62,CHOW-CHOW
63,63,shepherd
64,64,collie-mix
65,65,Collie
66,66,Retriever
67,67,Yorkshire
68,68,GOLDEN-RETR
69,69,CORGY-MIX
70,70,Tibetan-Terrier
71,71,Havanese-Mix
72,72,Cocker-Spaniel
73,73,Poodle-Mix
74,74,Staffordshire
75,75,Pit
76,76,IR-TERR
77,77,BAS-HOU
78,78,BICHON-F
79,79,T-PDLE
80,80,LHASA
81,81,Australian-Mix
82,82,SHIH-TZU
83,83,SPANIEL
84,84,Whippet
85,85,Shih-Tzu-Mix
86,86,YORKSHI
87,87,labrador-retriever
88,88,mix
89,89,Blue-Nose-Pit-Bull
90,90,RETRIEV-X
91,91,Chow-Chow
92,92,Bull-Terr.Mix
93,93,PITBULL
94,94,MASTIFF-MIX
95,95,FOX-TER
96,96,C.SPAN
97,97,YORKER
98,98,JACKRUSELL
99,99,CHIHUAHAUA-MIX
100,100,MIN-SCHNAUZER
101,101,MIN-POODLE
102,102,COLLIE
103,103,SHEP-MIX
104,104,SHIBA-INU--X
105,105,Cocker-Spaniel-Mix
106,106,Corgi-Mix
107,107,YORKY
108,108,Border-Collie
109,109,Heeler-Mix
110,110,Coonhound
111,111,Shepherd-Mix
112,112,HUSKY
113,113,KELPIE
114,114,JACK-RUSSELL--X
115,115,DOXIE
116,116,pomeranian-mix
117,117,Jack-Russell
118,118,Pug-Mix
119,119,Peke-A-Poo
120,120,Shih-Poo
121,121,English-Bull-Dog
122,122,Yorkshire-Terrier
123,123,CHIH
124,124,POO
125,125,Havenese
126,126,MIXED
127,127,AUSTRALIAN-TERRIER
128,128,German-shepherd
129,129,Corgi
130,130,Xoloitzcuintli
131,131,Basset-Hound
132,132,Jack-Russell-Terrier
133,133,Puggle
134,134,Labrador-X
135,135,Mixed
136,136,Dachshund-Mix
137,137,BORDER-COLLIE
138,138,AUSTRALIAN-SHEPHERD
139,139,Lab
140,140,Doberman
141,141,Fox
142,142,Sheltie
143,143,Unknown
144,144,Cross
145,145,terrier
146,146,SPANIEL-X
147,147,Labrador
148,148,Pekingese
149,149,hound
150,150,JACK-RUSSELL-MIX
151,151,chih
152,152,dach-mix
153,153,Bichon
154,154,Terrier-mix
155,155,pitbull
156,156,pointer
157,157,COCKER-SPANIEL-MIX
158,158,Malt
159,159,LABRADOR
160,160,FOX-TERR-MIX
161,161,Pointer
162,162,LHASA-APSO
163,163,BASENJI
164,164,TERR-X
165,165,TERRIER
166,166,CATTLE-DOG
167,167,Golden-Retriever
168,168,Labrador-Mix
169,169,WESTY---X
170,170,DACHSUND
171,171,MIX
172,172,GER
173,173,BOR-COLL-X
174,174,chihuahua
175,175,mini-pinscher
176,176,boxer
177,177,pit-mix
178,178,Maltese-
179,179,Poo
180,180,Miniature-Schnauzer
181,181,Silky-Terrier
182,182,Maltese-Mix
183,183,SHARPEI
184,184,PUGGLE
185,185,LABRADO
186,186,GREAT-D
187,187,SHEPHERD-MIX
188,188,beagle
189,189,DACHS
190,190,Germ-Shep
191,191,shep
192,192,doxie
193,193,shit-zu
194,194,poodle
195,195,Doxen
196,196,Petit-Basset-Griffon-Vendeen
197,197,CAIRN
198,198,yorkie
199,199,maltese
200,200,Pug
201,201,french-bulldog
202,202,pug
203,203,Beagle-X
204,204,Rottweiler
205,205,Chow-Mix
206,206,Pomeranian
207,207,SHIHTZ
208,208,POODLE-X
209,209,Fox-Terrier
210,210,DACH
211,211,CAV-KIN
212,212,German-Shepherd
213,213,?
214,214,SHIH-TZU-MIX
215,215,CHIHUA
216,216,TER
217,217,YORKI
218,218,golden-retreiver
219,219,great-prenees
220,220,Siberian-Husky
