,breed,male_h,female_h,male_w,female_w,w_kid,in_out_door
0,American-Pit-Bull-Mix,,,,,,
1,Pit-Bull-Mix,,,,,,
2,American-Pit-Bull-Terrier,"[17, 19]","[14, 16]","[45, 78]","[30, 55]"," A lively dog, American Pit Bull Terriers are excellent with children. They are strong and muscular so are best suited for older children and adults while training.",
3,Pit-Bull,"[18, 22, 56]","[18, 22, 56]","[22, 110, 50]","[22, 110, 50]",,
4,Japanese-Chin,"[8, 11]","[8, 11]","[4, 7]","[4, 7]",,
5,Spaniel,,,,,,
6,POODLE,[3],[3],"[45, 70, 15, 17, 6, 9]","[45, 70, 15, 17, 6, 9]",,
7,BICHON,,,,,,
8,DACHSHUND,"[14, 18, 14]","[14, 18, 14]","[20, 8]","[20, 8]",,
9,POMER,,,,,,
10,MALTESE,"[9, 10]","[8, 9]","[4, 7]","[4, 7]",,
11,"POODLE,TOY",,,,,,
12,Shepherd,,,,,,
13,Doberman-Mix,,,,,,
14,Basset,,,,,,
15,Beagle-Mix,,,,,,
16,HOUND,,,,,,
17,PIT-BULL,"[18, 22, 56]","[18, 22, 56]","[22, 110, 50]","[22, 110, 50]",,
18,Chihuahua,"[6, 10]","[6, 10]",[6],[6],,
19,Dachshund,"[14, 18, 14]","[14, 18, 14]","[20, 8]","[20, 8]",,
20,TERR,,,,,,
21,SHEP,,,,,,
22,BEAGLE,[],[],"[22, 25, 20, 23]","[22, 25, 20, 23]",,"The Beagle dogs can be kept inside
apartments. These dogs remain active indoors too.
However, they need to be given plenty of chances
to be outdoors. It is better if there is a small
yard set for them to move and play around. "
23,BOXER-X,,,,,,
24,Terrier-Mix,,,,,,
25,Maltese,"[9, 10]","[8, 9]","[4, 7]","[4, 7]",,
26,Shih-Tzu,,,,,,
27,miniature-poodle,,,,,,
28,cocker-spaniel,[15],[14],"[15, 30, 14]","[15, 30, 14]","Cockers are extremely sociable dogs, with a strong need to please. So they make fantastic family pets and well-suited to raising with children. ",
29,YORKIE,,,,,,
30,CHIHUAHUA,"[6, 10]","[6, 10]",[6],[6],,
31,Westy,,,,,,
32,Yorkie,,,,,,
33,Cocker,,,,,,
34,Cavalier,,,,,,
35,Poodle-mix,,,,,,
36,Beagle,[],[],"[22, 25, 20, 23]","[22, 25, 20, 23]",,"The Beagle dogs can be kept inside
apartments. These dogs remain active indoors too.
However, they need to be given plenty of chances
to be outdoors. It is better if there is a small
yard set for them to move and play around. "
37,Dachsund,,,,,,
38,Bull-Dog,,,,,,
39,Sher-pei-Mixed,,,,,,
40,MALT,,,,,,
41,YORKSHIRE-TERRIER,"[7, 9]","[7, 9]","[4, 7]","[3, 7]",,
42,Retriever-Mix,,,,,,
43,Havanese,"[9, 10]","[8, 9]","[9, 11]","[7, 10]",,
44,CORGI,,,,,,
45,RETRIEVER-MIX,,,,,,
46,Husky,,,,,,
47,Collie-Mix,,,,,,
48,Lhasa-Apso,[],[9],"[14, 18]","[12, 14]","Lhasa Apsos are not tolerant
of children and bond to one person. ",
49,Shih-Tuz,,,,,,
50,Poodle,[3],[3],"[45, 70, 15, 17, 6, 9]","[45, 70, 15, 17, 6, 9]",,
51,YELLOW-LABRADOR,,,,,,
52,Boxer,"[23, 25]","[21, 23]",[70],[60],,
53,Terrier,,,,,,
54,Hound,,,,,,
55,Lhasa,,,,,,
56,Terri,,,,,,
