ZipCode,counts,ACRES
11207,59,274.084
11211,51,102.971
11201,42,117.38799999999999
10009,42,20.813
11212,37,34.489
11233,36,26.016000000000002
11206,34,28.273999999999997
10457,33,76.278
10452,32,38.728
10451,31,104.386
11208,31,938.6809999999999
10035,30,449.8929999999999
10460,29,231.54700000000003
10456,28,144.606
10002,28,90.192
10301,26,1000.322
10453,25,18.429
10463,25,252.42099999999996
10312,25,1367.707
10459,24,42.589
10027,24,64.064
11377,23,20.067999999999998
11373,23,16.306
10029,23,29.907
10314,22,1080.509
11221,21,12.28
11691,21,844.74
11231,20,79.19
11215,20,557.632
11378,19,12.883
11224,19,491.70599999999996
11234,18,284.618
10454,17,50.325
11216,17,20.812
11238,16,73.843
11101,16,47.672
11368,16,13.721
10032,15,369.131
10458,15,915.904
10455,15,13.84
10473,14,309.784
10014,14,4.885
11205,14,13.766
11209,14,296.25199999999995
10304,14,145.486
10309,13,889.883
10305,13,818.6210000000001
10031,13,32.634
10023,13,1107.806
11218,13,149.34300000000002
10468,13,54.915
11385,13,19.622
11236,13,220.731
11354,13,951.096
10461,13,3014.633
10003,12,13.488
10025,12,9.099
11102,12,19.46299754
10467,12,1173.7910000000002
11694,12,229.72400000000002
11222,12,26.302
11417,12,22.306
11433,12,31.89
11369,12,8.719999999999999
10012,11,3.453
11364,11,385.212
11220,11,32.681
11370,11,12.386
11375,11,517.909
10026,11,33.078
10038,11,4.309
11223,11,12.355
11235,11,58.416000000000004
11217,10,9.008000000000001
10472,10,7.767
11413,10,506.10999999999996
10306,10,1104.585
10303,10,242.23499999999999
11229,10,807.123
11692,10,484.61699999999996
11214,10,148.048
11693,10,75.174
10462,10,8.071
10465,9,453.865
11420,9,16.201999999999998
10013,9,8.429
11434,9,193.95399999999998
10030,9,2.8400000000000003
10310,9,37.992
10039,9,21.528
11365,9,298.115
11362,9,112.594
10037,9,11.086
10474,9,51.058
11213,9,100.34700000000001
11435,8,9.72285643
11357,8,31.67
10022,8,5.842
11356,8,97.54100000000001
11225,8,7.114
10017,8,4.181
11203,7,16.512999999999998
10001,7,14.117
10471,7,30.941000000000003
11361,7,691.9110000000001
10302,7,211.63199999999998
11432,7,27.958
10024,7,25.337
11429,7,5.861
10308,7,440.774
11106,7,20.811
11367,7,11.387
11426,6,83.785
10011,6,11.736
11360,6,137.89600000000002
11219,6,18.728
 10314,6,2302.612
11210,6,8.687000000000001
10036,6,2.0869999999999997
11374,6,7.287
10469,6,16.893
10033,6,208.679
11105,6,69.846
 10471,5,1358.299
11230,5,11.075
10128,5,14.806
11436,5,9.027000000000001
10021,5,33.16836646
11226,5,40.128
10019,5,73.82
11372,5,4.993
10016,5,7.083
 10306,5,1289.694
11414,5,12.658999999999999
 11693,5,499.454
 10468,5,12.404
11355,5,104.47500000000001
11412,4,3.236
11358,4,4.434
11363,4,45.455
11004,4,176.658
11228,4,10.937
11103,4,252.27100000000002
10307,4,308.58500000000004
11416,4,4.41
11237,4,11.046
11423,4,7.1129999999999995
11204,4,11.345
10466,4,42.184
10034,4,21.833000000000002
 10025,4,1100.3609999999999
10007,4,39.205
 11422,4,441.571
 10462,4,1057.341
 11414,4,357.931
 10312,4,938.63
 11201,4,85.508
 10467,4,1114.9360000000001
10010,4,9.821
 11385,4,725.9490000000001
 10472,4,231.329
 11235,4,2097.903
 11367,3,1318.279
 10065,3,9.696
 10040,3,180.32399999999998
 11364,3,1133.609
 1,3,1258.525
11379,3,56.115
 11362,3,1133.609
10040,3,84.48599999999999
