ZipCode,american pit bull mix / pit bull mix,american pit bull terrier/pit bull,australian shepherd,beagle,beagle crossbreed,boston terrier,cavalier king charles spaniel,chihuahua,chihuahua crossbreed,cocker spaniel,french bulldog,german shepherd crossbreed,german shepherd dog,golden retriever,goldendoodle,havanese,jack russell terrier,labradoodle,labrador retriever,labrador retriever crossbreed,maltese,not provided,pomeranian,poodle,poodle crossbreed,"poodle, miniature","poodle, toy",pug,shiba inu,shih tzu,shih tzu crossbreed,terrier mix,unknown,yorkshire terrier
10001,,,,,,,,52.0,,,60.0,,,,,,,,55.0,,,,,,,,,,,,,,82.0,52.0
10002,59.0,,,,,,,105.0,,,,,,,,,,,,51.0,57.0,,55.0,,,,,,,83.0,,,138.0,110.0
10003,,,50.0,,,,,98.0,,,50.0,,,50.0,50.0,,,,91.0,74.0,,53.0,,,50.0,,,,,,,53.0,196.0,56.0
10009,68.0,,67.0,,51.0,53.0,69.0,162.0,86.0,,84.0,,,58.0,62.0,72.0,,,103.0,102.0,80.0,67.0,65.0,,60.0,,,,63.0,110.0,,66.0,217.0,132.0
10010,,,,,,,58.0,62.0,,,56.0,,,51.0,51.0,,,,69.0,52.0,50.0,,,,,,,,,,,,80.0,67.0
10011,,,59.0,,,,66.0,135.0,,,133.0,,,78.0,55.0,76.0,,54.0,118.0,81.0,50.0,,54.0,,72.0,,54.0,,,78.0,,64.0,244.0,83.0
10012,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,97.0,
10013,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,77.0,
10014,,,50.0,,,,56.0,57.0,,,75.0,,,61.0,,53.0,,,97.0,68.0,,,,,64.0,,,,,,,,158.0,
10016,,,51.0,,,,61.0,92.0,60.0,,64.0,,,,54.0,70.0,,,69.0,77.0,68.0,,57.0,,58.0,,,,,77.0,,52.0,125.0,94.0
10017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,
10019,,,,,,,,129.0,55.0,,89.0,,,69.0,,53.0,,,91.0,67.0,69.0,50.0,68.0,,54.0,,51.0,,,79.0,,,143.0,87.0
10021,,,,,,,71.0,71.0,,,,,,73.0,53.0,100.0,,,70.0,,61.0,,,,52.0,,51.0,,,90.0,,,151.0,63.0
10022,,,,,,,50.0,58.0,,,,,,,,,,,51.0,,59.0,,,,,,51.0,,,55.0,,,87.0,55.0
10023,,,,,,,119.0,110.0,56.0,,79.0,,,110.0,79.0,92.0,,76.0,165.0,99.0,71.0,71.0,,,81.0,55.0,52.0,,,97.0,,51.0,259.0,93.0
10024,,,,62.0,,,81.0,74.0,62.0,,,,,98.0,77.0,99.0,61.0,93.0,171.0,117.0,,60.0,,,64.0,56.0,,,,88.0,,66.0,270.0,71.0
10025,81.0,51.0,64.0,66.0,,,73.0,131.0,59.0,53.0,68.0,58.0,64.0,91.0,62.0,109.0,70.0,93.0,234.0,158.0,83.0,108.0,56.0,55.0,81.0,69.0,64.0,52.0,,99.0,,80.0,380.0,143.0
10026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,
10027,,,,,,,,71.0,51.0,,,,,,,,,,,,,,,,,,,,,50.0,,,117.0,59.0
10028,,,50.0,,,,66.0,61.0,,,,,,78.0,72.0,103.0,,57.0,100.0,59.0,57.0,,,,61.0,,,,,94.0,,,189.0,63.0
10029,125.0,96.0,,,,,,154.0,78.0,,,,,,,,,,58.0,64.0,86.0,65.0,54.0,,,,,,,167.0,62.0,,174.0,179.0
10031,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,94.0,57.0
10032,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,93.0,65.0
10033,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,97.0,69.0
10034,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,111.0,68.0
10035,52.0,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,52.0,,,70.0,56.0
10036,,,,,,,,95.0,,,57.0,,,,,,,,59.0,64.0,52.0,,,,,,,,,59.0,,,103.0,65.0
10038,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,84.0,52.0
10040,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,60.0,58.0
10065,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,90.0,63.0
10075,,,,,,,,,,,,,,,,50.0,,,52.0,,,,,,,,,,,,,,80.0,
